### Questions/IDs: full Completions 

| name   | run_id   | completion                              |
|:-------|:---------|:----------------------------------------|
| Q-1    | 44a2     | #A #B #A #A #B B# B# B# B# A# B# A#     |
|        |          |                                         |
|        |          | #A #B #A #A #B B# B# B# B# A# B# A#     |
|        |          | #A #B #A #A #B B# B# B# B# #A B# A#     |
|        |          | #A #B #A #A #B B# B# B# #A B# A#        |
|        |          | #A #B #A #A #B B# B# #A B# A#           |
|        |          | #A #B #A #A #B B# #A B# A#              |
|        |          | #A #B #A #A #B #A B# A#                 |
|        |          | #A #B #A #A #A B# A#                    |
|        |          | #A #B #A #A #A#                         |
|        |          | #A #B #A #                              |
|        |          | #A #B #                                 |
|        |          | #B #                                    |
|        |          | <solution>B#</solution>                 |
| Q-10   | 44a2     | A# B# #A B# A# #B #B B# #A #A A# A#     |
|        |          |                                         |
|        |          | #B A# B# A# #B #B B# #A #A A# A#        |
|        |          |                                         |
|        |          | #B B# #B #B B# #A #A A# A#              |
|        |          |                                         |
|        |          | #B B# #B #A #A A# A#                    |
|        |          |                                         |
|        |          | #B B# #A A#                             |
|        |          |                                         |
|        |          | #B A#                                   |
|        |          |                                         |
|        |          | B#                                      |
|        |          |                                         |
|        |          | <solution>B#</solution>                 |
| Q-2    | 44a2     | #B #B #B #A #B A# B# A# A# #A A# B#     |
|        |          | #B #B #B #A #B #A# B# A# #A A# B#       |
|        |          | #B #B #B #A #A# B# A# A# B#             |
|        |          | #B #B #B #A #A# A# B#                   |
|        |          | #B #B #B #A B#                          |
|        |          | #B #B #B #A# B#                         |
|        |          | #B #B #A# B#                            |
|        |          | #B #B B#                                |
|        |          | #B #B                                   |
|        |          | #B                                      |
|        |          | <solution>#B</solution>                 |
| Q-3    | 44a2     | #B #A A# #B #A #A B# A# A# A# A# A#     |
|        |          |                                         |
|        |          | #B #A A# #B #A #A B# A# A# A# A# A#     |
|        |          | #B #A #A B# A# A# A# A# A#              |
|        |          |                                         |
|        |          | #B #A #A B# A# A# A# A# A#              |
|        |          | #B #A A# A# A# A# A#                    |
|        |          |                                         |
|        |          | #B #A A# A# A# A# A#                    |
|        |          | #B #A #A A# A# A#                       |
|        |          |                                         |
|        |          | #B #A #A A# A# A#                       |
|        |          | #B #A A# A#                             |
|        |          |                                         |
|        |          | #B #A A# A#                             |
|        |          | #B #A A#                                |
|        |          |                                         |
|        |          | #B #A #                                 |
|        |          | #B #                                    |
|        |          |                                         |
|        |          | <solution>#B #</solution>               |
| Q-4    | 44a2     | #B A# #A B# #B A# #B B# B# A# B# A#     |
|        |          |                                         |
|        |          | #B #B A# #B B# B# A# B# A#              |
|        |          |                                         |
|        |          | #B A# B# B# A# B# A#                    |
|        |          |                                         |
|        |          | #B #B B# A# B# A#                       |
|        |          |                                         |
|        |          | #B B# A# A#                             |
|        |          |                                         |
|        |          | #B A# A#                                |
|        |          |                                         |
|        |          | #B #B                                   |
|        |          |                                         |
|        |          | #B                                      |
|        |          | <solution>#B</solution>                 |
| Q-5    | 44a2     | Step 1:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 2:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 3:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 4:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 5:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 6:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 7:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 8:                                 |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          | B# B# #B #B #A #B B# #B #A #A B# #A     |
|        |          |                                         |
|        |          | Step 9:                                 |
